15268, 1668, 6428, -3019, -10364
10868, -1964, 3296, -1718, -3396
12328, -612, 6216, -313, -6940
13244, 2540, 3852, -151, -13671
19124, 2936, 5404, -751, -16000
20072, 772, 6408, -1070, -10729
19072, 1420, 4716, -1277, -483
16876, -928, 4904, 61, 6574
15740, -576, 7528, 2821, 7757
16540, -200, 8276, 4234, 6609
18580, -268, 8804, 3571, 7586
20924, 2600, 9220, 989, 13463
19956, 2448, 10432, 329, 21519
18304, 2436, 9876, 2180, 29870
13708, 1000, 10536, 4213, 32767
10784, 1588, 8688, 4540, 32767
5208, 1320, 12988, 4330, 32767
392, 2084, 11068, 3959, 32767
-2356, 2688, 14280, -507, 32767
-5268, 7224, 14816, -5555, 32558
-6112, 3972, 14228, -9184, 12237
-2336, 836, 17964, -9042, -4857
1276, -1420, 24108, -6913, -10583
-8, -580, 23508, -5867, -5806
-1352, -1212, 22300, -3363, 366
-2028, -1920, 18272, 298, 2429
-1416, 284, 17120, 2055, 383
-68, 1900, 18268, 1888, -1588
56, 1736, 18640, 451, -1392
28, 1388, 19016, -686, -462
36, 444, 18836, -1444, -351
112, -168, 18248, -1954, -630
152, 232, 18656, -1856, -567
-104, -700, 18148, -873, -212
212, -772, 18416, 550, -147
128, -212, 18340, 945, -194
-56, 364, 18880, 748, -95
20, 664, 19340, 488, 141
-40, 372, 18996, -70, 237
0, 364, 18972, -786, 182
0, 364, 18972, -786, 182
-8, -148, 18996, -1100, 129
12, -364, 18560, -979, 195
-180, -276, 17964, -835, 228
60, -576, 18680, -338, 53
192, 32, 19288, 205, -125
296, 308, 19276, 414, -34
-44, 648, 18800, 35, 365
-44, 648, 18800, 35, 365
-96, 336, 18544, -584, 464
-236, 168, 18376, -1105, 83
192, -456, 19052, -1269, -537
308, -384, 18936, -1124, -558
220, -816, 19060, -692, -117
176, -456, 18812, 222, 341
212, -396, 18472, 1137, 429
180, 144, 18720, 1838, 264
16, 104, 18560, 1631, 249
-316, 1108, 18604, 1184, 248
-572, 308, 19060, 2174, -126
-572, 308, 19060, 2174, -126
-592, -56, 19416, 6367, -1173
-988, 716, 18076, 13971, -2650
160, -812, 16632, 25262, -4296
1128, 1068, 17536, 32767, -6390
2452, 6560, 14440, 32767, -6677
5656, 15416, 8472, 32767, -747
3860, 15380, 5156, 32767, 5086
2088, 18772, 3912, 30375, 7901
12, 15520, 1872, 27529, 8475
-348, 13960, -852, 25690, 5794
-496, 16084, -2936, 18735, 2194
1224, 16908, -1364, 7893, -567
636, 18548, -1048, -1465, -1354
868, 16604, 780, -5532, -1070
444, 15652, 1660, -4017, -580
360, 15412, 1740, -324, -167
424, 16576, 668, 1220, 413
1016, 16292, 100, -3121, -178
2836, 18612, 2176, -16334, -1717
2948, 17936, 4832, -32768, -2213
5368, 15988, 9156, -32768, -2043
3044, 16204, 10792, -32768, 639
5068, 6856, 13288, -32768, 3180
2776, 2836, 17432, -32768, 5775
1160, 344, 18984, -32768, 7364
688, -1312, 18812, -22601, 6796
1028, 144, 18328, -9581, 4562
1940, -364, 17804, 116, 1867
2584, 3376, 18756, 4482, 182
2828, 5008, 18352, 3293, 149
2816, 4040, 18952, 706, 836
2496, 3136, 18956, -1698, 1263
2056, 2708, 18112, -3348, 1289
1956, 2052, 18400, -3444, 1180
1696, 2076, 18176, -2204, 886
2064, 1856, 18320, -1080, 354
1948, 2456, 18264, -732, 32
2196, 2148, 18544, -480, 17
1884, 1812, 18124, 378, 191
2136, 1712, 18708, 917, -49
2136, 1712, 18708, 917, -49
2124, 2820, 18764, 1351, -177
2300, 2144, 18568, 1530, -111
2276, 2556, 18444, 1204, 178
2024, 2484, 17980, -56, 233
2072, 3200, 18276, -515, 15
2236, 2616, 18004, -300, -283
2380, 2136, 18508, -393, -426
2200, 2152, 18892, -375, -308
1084, 4148, 19000, 3291, -91
1276, 2132, 19356, 13286, 23
1292, 1672, 18088, 26722, 25
1988, 4516, 16580, 32767, 93
2904, 5892, 12884, 32767, 962
2772, 13096, 9240, 32767, 2924
2760, 16876, 6816, 32767, 5729
1136, 15752, 2732, 32767, 7747
380, 19036, -1276, 32767, 7863
0, 18128, -4112, 29255, 5797
-600, 17480, -4776, 14503, 2816
-536, 18020, -2588, -1590, -170
-400, 17904, -160, -12389, -2565
100, 16712, 2796, -14442, -3688
696, 16020, 3312, -10638, -3180
